"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercise","LMS service","Sat May 09 21:46:54 UTC 2026","passed","Sat May 09 21:46:54 UTC 2026","Get Entity","Exercises","",""
"","14","Get file","LMS service","Sat May 09 21:46:56 UTC 2026","passed","Sat May 09 21:46:56 UTC 2026","Get Entity","Files","",""
"","333","Update course","LMS service","Sat May 09 21:46:51 UTC 2026","passed","Sat May 09 21:46:51 UTC 2026","Update Entity","Courses","",""
"","625","Create user","LMS service","Sat May 09 21:46:58 UTC 2026","passed","Sat May 09 21:46:59 UTC 2026","Create Entity","Users","",""
"","24","Createe exercise","LMS service","Sat May 09 21:46:52 UTC 2026","passed","Sat May 09 21:46:52 UTC 2026","Create Entity","Exercises","",""
"","631","Create user","LMS service","Sat May 09 21:46:59 UTC 2026","passed","Sat May 09 21:47:00 UTC 2026","Create Entity","Users","",""
"","9","Get file with incorrect file id","LMS service","Sat May 09 21:46:58 UTC 2026","broken","Sat May 09 21:46:58 UTC 2026","Validate Entity","Files","",""
"","15","Create file with empty directory","LMS service","Sat May 09 21:46:57 UTC 2026","broken","Sat May 09 21:46:57 UTC 2026","Validate Entity","Files","",""
"","21","Update exercise","LMS service","Sat May 09 21:46:52 UTC 2026","passed","Sat May 09 21:46:52 UTC 2026","Update Entity","Exercises","",""
"","0","Get courses","LMS service","Sat May 09 21:46:50 UTC 2026","broken","Sat May 09 21:46:50 UTC 2026","Get Entities","Courses","",""
"","21","Delete file","LMS service","Sat May 09 21:46:58 UTC 2026","passed","Sat May 09 21:46:58 UTC 2026","Delete Entity","Files","",""
"","0","Get exercises","LMS service","Sat May 09 21:46:55 UTC 2026","broken","Sat May 09 21:46:55 UTC 2026","Get Entities","Exercises","",""
"","297","Create file with empty filename","LMS service","Sat May 09 21:46:57 UTC 2026","broken","Sat May 09 21:46:57 UTC 2026","Validate Entity","Files","",""
"","323","Login with correct email and password","LMS service","Sat May 09 21:46:49 UTC 2026","passed","Sat May 09 21:46:49 UTC 2026","Login","Authentication","",""
"","625","Create user","LMS service","Sat May 09 21:46:58 UTC 2026","passed","Sat May 09 21:46:59 UTC 2026","Create Entity","Users","",""
"","13","Get user me","LMS service","Sat May 09 21:47:00 UTC 2026","passed","Sat May 09 21:47:00 UTC 2026","Get Entity","Users","",""
"","25","Create course","LMS service","Sat May 09 21:46:51 UTC 2026","passed","Sat May 09 21:46:51 UTC 2026","Create Entity","Courses","",""
"","19","Delete exercise","LMS service","Sat May 09 21:46:54 UTC 2026","passed","Sat May 09 21:46:54 UTC 2026","Delete Entity","Exercises","",""
"","650","Create file","LMS service","Sat May 09 21:46:55 UTC 2026","passed","Sat May 09 21:46:56 UTC 2026","Create Entity","Files","",""
