"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get courses","LMS service","Sat May 09 21:17:48 UTC 2026","broken","Sat May 09 21:17:48 UTC 2026","Get Entities","Courses","",""
"","15","Create file with empty directory","LMS service","Sat May 09 21:17:56 UTC 2026","broken","Sat May 09 21:17:56 UTC 2026","Validate Entity","Files","",""
"","0","Update course","LMS service","Sat May 09 21:17:49 UTC 2026","broken","Sat May 09 21:17:49 UTC 2026","Update Entity","Courses","",""
"","10","Get file with incorrect file id","LMS service","Sat May 09 21:17:57 UTC 2026","broken","Sat May 09 21:17:57 UTC 2026","Validate Entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat May 09 21:17:49 UTC 2026","passed","Sat May 09 21:17:49 UTC 2026","Login","Authentication","",""
"","0","Update exercise","LMS service","Sat May 09 21:17:51 UTC 2026","broken","Sat May 09 21:17:51 UTC 2026","Update Entity","Exercises","",""
"","15","Get user me","LMS service","Sat May 09 21:17:59 UTC 2026","passed","Sat May 09 21:17:59 UTC 2026","Get Entity","Users","",""
"","263","Create file with empty filename","LMS service","Sat May 09 21:17:56 UTC 2026","broken","Sat May 09 21:17:56 UTC 2026","Validate Entity","Files","",""
"","18","Get file","LMS service","Sat May 09 21:17:55 UTC 2026","passed","Sat May 09 21:17:55 UTC 2026","Get Entity","Files","",""
"","0","Createe exercise","LMS service","Sat May 09 21:17:50 UTC 2026","broken","Sat May 09 21:17:50 UTC 2026","Create Entity","Exercises","",""
"","0","Get exercise","LMS service","Sat May 09 21:17:52 UTC 2026","broken","Sat May 09 21:17:52 UTC 2026","Get Entity","Exercises","",""
"","0","Create course","LMS service","Sat May 09 21:17:51 UTC 2026","broken","Sat May 09 21:17:51 UTC 2026","Create Entity","Courses","",""
"","533","Create user","LMS service","Sat May 09 21:17:57 UTC 2026","passed","Sat May 09 21:17:58 UTC 2026","Create Entity","Users","",""
"","0","Get exercises","LMS service","Sat May 09 21:17:53 UTC 2026","broken","Sat May 09 21:17:53 UTC 2026","Get Entities","Exercises","",""
"","572","Create file","LMS service","Sat May 09 21:17:54 UTC 2026","passed","Sat May 09 21:17:55 UTC 2026","Create Entity","Files","",""
"","290","Create user","LMS service","Sat May 09 21:17:57 UTC 2026","passed","Sat May 09 21:17:57 UTC 2026","Create Entity","Users","",""
"","564","Create user","LMS service","Sat May 09 21:17:57 UTC 2026","passed","Sat May 09 21:17:58 UTC 2026","Create Entity","Users","",""
"","25","Delete file","LMS service","Sat May 09 21:17:57 UTC 2026","passed","Sat May 09 21:17:57 UTC 2026","Delete Entity","Files","",""
"","0","Delete exercise","LMS service","Sat May 09 21:17:52 UTC 2026","broken","Sat May 09 21:17:52 UTC 2026","Delete Entity","Exercises","",""
