"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","Get file with incorrect file id","LMS service","Mon May 11 13:12:32 UTC 2026","passed","Mon May 11 13:12:32 UTC 2026","Validate Entity","Files","",""
"","504","Create user","LMS service","Mon May 11 13:12:31 UTC 2026","passed","Mon May 11 13:12:32 UTC 2026","Create Entity","Users","",""
"","22","Delete exercise","LMS service","Mon May 11 13:12:28 UTC 2026","passed","Mon May 11 13:12:28 UTC 2026","Delete Entity","Exercises","",""
"","30","Create course","LMS service","Mon May 11 13:12:26 UTC 2026","passed","Mon May 11 13:12:26 UTC 2026","Create Entity","Courses","",""
"","273","Get exercises","LMS service","Mon May 11 13:12:28 UTC 2026","passed","Mon May 11 13:12:29 UTC 2026","Get Entities","Exercises","",""
"","271","Get exercise","LMS service","Mon May 11 13:12:27 UTC 2026","passed","Mon May 11 13:12:28 UTC 2026","Get Entity","Exercises","",""
"","275","Create user","LMS service","Mon May 11 13:12:32 UTC 2026","passed","Mon May 11 13:12:32 UTC 2026","Create Entity","Users","",""
"","529","Login with correct email and password","LMS service","Mon May 11 13:12:24 UTC 2026","passed","Mon May 11 13:12:24 UTC 2026","Login","Authentication","",""
"","11","Get user me","LMS service","Mon May 11 13:12:33 UTC 2026","passed","Mon May 11 13:12:33 UTC 2026","Get Entity","Users","",""
"","281","Createe exercise","LMS service","Mon May 11 13:12:26 UTC 2026","passed","Mon May 11 13:12:26 UTC 2026","Create Entity","Exercises","",""
"","17","Get file","LMS service","Mon May 11 13:12:30 UTC 2026","passed","Mon May 11 13:12:30 UTC 2026","Get Entity","Files","",""
"","21","Update exercise","LMS service","Mon May 11 13:12:27 UTC 2026","passed","Mon May 11 13:12:27 UTC 2026","Update Entity","Exercises","",""
"","533","Create user","LMS service","Mon May 11 13:12:32 UTC 2026","passed","Mon May 11 13:12:32 UTC 2026","Create Entity","Users","",""
"","304","Create file","LMS service","Mon May 11 13:12:29 UTC 2026","passed","Mon May 11 13:12:29 UTC 2026","Create Entity","Files","",""
"","260","Create file with empty filename","LMS service","Mon May 11 13:12:30 UTC 2026","passed","Mon May 11 13:12:30 UTC 2026","Validate Entity","Files","",""
"","27","Delete file","LMS service","Mon May 11 13:12:31 UTC 2026","passed","Mon May 11 13:12:31 UTC 2026","Delete Entity","Files","",""
"","254","Create file with empty directory","LMS service","Mon May 11 13:12:31 UTC 2026","passed","Mon May 11 13:12:31 UTC 2026","Validate Entity","Files","",""
"","288","Update course","LMS service","Mon May 11 13:12:25 UTC 2026","passed","Mon May 11 13:12:25 UTC 2026","Update Entity","Courses","",""
"","281","Get courses","LMS service","Mon May 11 13:12:24 UTC 2026","passed","Mon May 11 13:12:25 UTC 2026","Get Entities","Courses","",""
