"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Get exercise","LMS service","Sat May 09 21:55:11 UTC 2026","passed","Sat May 09 21:55:11 UTC 2026","Get Entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Sat May 09 21:55:14 UTC 2026","broken","Sat May 09 21:55:14 UTC 2026","Validate Entity","Files","",""
"","15","Create file with empty directory","LMS service","Sat May 09 21:55:15 UTC 2026","broken","Sat May 09 21:55:15 UTC 2026","Validate Entity","Files","",""
"","32","Create course","LMS service","Sat May 09 21:55:09 UTC 2026","passed","Sat May 09 21:55:09 UTC 2026","Create Entity","Courses","",""
"","34","Update course","LMS service","Sat May 09 21:55:09 UTC 2026","passed","Sat May 09 21:55:09 UTC 2026","Update Entity","Courses","",""
"","533","Create user","LMS service","Sat May 09 21:55:15 UTC 2026","passed","Sat May 09 21:55:16 UTC 2026","Create Entity","Users","",""
"","20","Update exercise","LMS service","Sat May 09 21:55:10 UTC 2026","passed","Sat May 09 21:55:10 UTC 2026","Update Entity","Exercises","",""
"","10","Get exercises","LMS service","Sat May 09 21:55:13 UTC 2026","failed","Sat May 09 21:55:13 UTC 2026","Get Entities","Exercises","",""
"","551","Login with correct email and password","LMS service","Sat May 09 21:55:07 UTC 2026","passed","Sat May 09 21:55:08 UTC 2026","Login","Authentication","",""
"","15","Get file","LMS service","Sat May 09 21:55:14 UTC 2026","passed","Sat May 09 21:55:14 UTC 2026","Get Entity","Files","",""
"","63","Create file","LMS service","Sat May 09 21:55:13 UTC 2026","passed","Sat May 09 21:55:13 UTC 2026","Create Entity","Files","",""
"","553","Create user","LMS service","Sat May 09 21:55:16 UTC 2026","passed","Sat May 09 21:55:17 UTC 2026","Create Entity","Users","",""
"","268","Get user me","LMS service","Sat May 09 21:55:17 UTC 2026","passed","Sat May 09 21:55:17 UTC 2026","Get Entity","Users","",""
"","287","Create user","LMS service","Sat May 09 21:55:15 UTC 2026","passed","Sat May 09 21:55:15 UTC 2026","Create Entity","Users","",""
"","19","Delete exercise","LMS service","Sat May 09 21:55:11 UTC 2026","passed","Sat May 09 21:55:11 UTC 2026","Delete Entity","Exercises","",""
"","21","Delete file","LMS service","Sat May 09 21:55:15 UTC 2026","passed","Sat May 09 21:55:15 UTC 2026","Delete Entity","Files","",""
"","31","Get courses","LMS service","Sat May 09 21:55:08 UTC 2026","passed","Sat May 09 21:55:08 UTC 2026","Get Entities","Courses","",""
"","261","Get file with incorrect file id","LMS service","Sat May 09 21:55:16 UTC 2026","broken","Sat May 09 21:55:16 UTC 2026","Validate Entity","Files","",""
"","25","Createe exercise","LMS service","Sat May 09 21:55:10 UTC 2026","passed","Sat May 09 21:55:10 UTC 2026","Create Entity","Exercises","",""
