"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Delete exercise","LMS service","Sat May 09 19:18:33 UTC 2026","broken","Sat May 09 19:18:33 UTC 2026","Delete Entity","Exercises","",""
"","0","Get courses","LMS service","Sat May 09 19:18:29 UTC 2026","broken","Sat May 09 19:18:29 UTC 2026","Get Entities","Courses","",""
"","16","Create file with empty filename","LMS service","Sat May 09 19:18:37 UTC 2026","broken","Sat May 09 19:18:37 UTC 2026","Validate Entity","Files","",""
"","564","Create user","LMS service","Sat May 09 19:18:39 UTC 2026","passed","Sat May 09 19:18:39 UTC 2026","Create Entity","Users","",""
"","553","Login with correct email and password","LMS service","Sat May 09 19:18:30 UTC 2026","passed","Sat May 09 19:18:31 UTC 2026","Login","Authentication","",""
"","259","Create file with empty directory","LMS service","Sat May 09 19:18:38 UTC 2026","broken","Sat May 09 19:18:38 UTC 2026","Validate Entity","Files","",""
"","0","Get exercise","LMS service","Sat May 09 19:18:33 UTC 2026","broken","Sat May 09 19:18:33 UTC 2026","Get Entity","Exercises","",""
"","562","Create user","LMS service","Sat May 09 19:18:39 UTC 2026","passed","Sat May 09 19:18:39 UTC 2026","Create Entity","Users","",""
"","17","Create course","LMS service","Sat May 09 19:18:32 UTC 2026","broken","Sat May 09 19:18:32 UTC 2026","Create Entity","Courses","",""
"","14","Get user me","LMS service","Sat May 09 19:18:40 UTC 2026","passed","Sat May 09 19:18:40 UTC 2026","Get Entity","Users","",""
"","542","Create user","LMS service","Sat May 09 19:18:38 UTC 2026","passed","Sat May 09 19:18:39 UTC 2026","Create Entity","Users","",""
"","0","Get exercises","LMS service","Sat May 09 19:18:34 UTC 2026","broken","Sat May 09 19:18:34 UTC 2026","Get Entities","Exercises","",""
"","301","Delete file","LMS service","Sat May 09 19:18:38 UTC 2026","passed","Sat May 09 19:18:38 UTC 2026","Delete Entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Sat May 09 19:18:38 UTC 2026","broken","Sat May 09 19:18:39 UTC 2026","Validate Entity","Files","",""
"","18","Get file","LMS service","Sat May 09 19:18:37 UTC 2026","passed","Sat May 09 19:18:37 UTC 2026","Get Entity","Files","",""
"","93","Create file","LMS service","Sat May 09 19:18:35 UTC 2026","passed","Sat May 09 19:18:36 UTC 2026","Create Entity","Files","",""
"","0","Update exercise","LMS service","Sat May 09 19:18:32 UTC 2026","broken","Sat May 09 19:18:32 UTC 2026","Update Entity","Exercises","",""
"","0","Update course","LMS service","Sat May 09 19:18:31 UTC 2026","broken","Sat May 09 19:18:31 UTC 2026","Update Entity","Courses","",""
"","0","Createe exercise","LMS service","Sat May 09 19:18:32 UTC 2026","broken","Sat May 09 19:18:32 UTC 2026","Create Entity","Exercises","",""
