"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Sun May 10 15:16:34 UTC 2026","passed","Sun May 10 15:16:34 UTC 2026","Update Entity","Exercises","",""
"","15","Get file","LMS service","Sun May 10 15:16:37 UTC 2026","passed","Sun May 10 15:16:37 UTC 2026","Get Entity","Files","",""
"","14","Get user me","LMS service","Sun May 10 15:16:40 UTC 2026","passed","Sun May 10 15:16:40 UTC 2026","Get Entity","Users","",""
"","31","Create course","LMS service","Sun May 10 15:16:32 UTC 2026","passed","Sun May 10 15:16:32 UTC 2026","Create Entity","Courses","",""
"","17","Get exercises","LMS service","Sun May 10 15:16:36 UTC 2026","passed","Sun May 10 15:16:36 UTC 2026","Get Entities","Exercises","",""
"","23","Create file with empty filename","LMS service","Sun May 10 15:16:37 UTC 2026","passed","Sun May 10 15:16:37 UTC 2026","Validate Entity","Files","",""
"","291","Create user","LMS service","Sun May 10 15:16:39 UTC 2026","passed","Sun May 10 15:16:40 UTC 2026","Create Entity","Users","",""
"","53","Get exercise","LMS service","Sun May 10 15:16:35 UTC 2026","passed","Sun May 10 15:16:35 UTC 2026","Get Entity","Exercises","",""
"","67","Create file","LMS service","Sun May 10 15:16:36 UTC 2026","passed","Sun May 10 15:16:36 UTC 2026","Create Entity","Files","",""
"","549","Create user","LMS service","Sun May 10 15:16:39 UTC 2026","passed","Sun May 10 15:16:39 UTC 2026","Create Entity","Users","",""
"","31","Get courses","LMS service","Sun May 10 15:16:31 UTC 2026","passed","Sun May 10 15:16:31 UTC 2026","Get Entities","Courses","",""
"","276","Get file with incorrect file id","LMS service","Sun May 10 15:16:39 UTC 2026","passed","Sun May 10 15:16:39 UTC 2026","Validate Entity","Files","",""
"","27","Createe exercise","LMS service","Sun May 10 15:16:34 UTC 2026","passed","Sun May 10 15:16:34 UTC 2026","Create Entity","Exercises","",""
"","296","Delete file","LMS service","Sun May 10 15:16:38 UTC 2026","passed","Sun May 10 15:16:39 UTC 2026","Delete Entity","Files","",""
"","552","Login with correct email and password","LMS service","Sun May 10 15:16:31 UTC 2026","passed","Sun May 10 15:16:31 UTC 2026","Login","Authentication","",""
"","559","Create user","LMS service","Sun May 10 15:16:39 UTC 2026","passed","Sun May 10 15:16:40 UTC 2026","Create Entity","Users","",""
"","270","Create file with empty directory","LMS service","Sun May 10 15:16:38 UTC 2026","passed","Sun May 10 15:16:38 UTC 2026","Validate Entity","Files","",""
"","309","Update course","LMS service","Sun May 10 15:16:32 UTC 2026","passed","Sun May 10 15:16:32 UTC 2026","Update Entity","Courses","",""
"","20","Delete exercise","LMS service","Sun May 10 15:16:35 UTC 2026","passed","Sun May 10 15:16:35 UTC 2026","Delete Entity","Exercises","",""
